1fbc79d1,Víctor Rossel,2006-2017,1,PER,pe,Juan Aurich!Sport Boys!...
54cb70e5,Geovanny Nazareno,2008-2017,1,ECU,ec,Delfín Sporting Club!Bar...
2ea3b2ca,Ernando,2006-2017,1,,,Sport Club Internacional,...
86695068,Dennis Praet,2011-2018,1,BEL,be,Sampdoria!Anderlecht
0d9a9051,Mario Tičinović,2008-2018,1,CRO,hr,Lokeren!HNK Hajduk Split...
5b52d1f7,Tom Starke,2003-2018,1,GER,de,Bayern Munich!MSV Duisbu...
2167081f,Aleksandar Jevtić,2006-2017,0,SRB,rs,Jiangsu Guoxin-Sainty FC,...
1fdcc488,Néstor Calderón,2008-2018,1,MEX,mx,UNAM!Toluca!Santos Lagu...
9d971f13,Marcelo Nascimento da Costa,2011-2018,1,BUL,bg,PFC Ludogorets Razgrad
2b9d5093,Ricardo Santos,2007-2017,1,BRA,br,Cerezo Osaka!Kalmar FF!...
eb82b6f1,Fidel,2009-2018,1,ESP,es,Almería!Elche!Córdoba!...
0d479b47,Mathías Riquero,2006-2017,1,URU,uy,Deportes Temuco!Ñublense...
69f6f5ac,Tarek Elrich,2005-2018,1,AUS,au,Adelaide United FC!Newca...
b6a1eaa0,Ricardo Gardner,2001-2012,0,JAM,jm,Bolton Wanderers!Preston...
10d58a78,Paolo Hurtado,2008-2018,1,PER,pe,Vitória Guimarães!Alianz...
0f2da318,Anthony Gardner,2000-2014,0,ENG,gb-eng,Tottenham Hotspur!Crysta...
b3a1e050,Luke Steele,2004-2018,1,ENG,gb-eng,Bristol City!Barnsley!P...
37c213cf,Julian Schieber,2008-2018,1,GER,de,Hertha BSC!Stuttgart!Bo...
74ea03bb,Evaldo Fabiano,2003-2016,0,BRA,br,Marítimo!Braga!Sporting...
97b18c0e,Francesco Marianini,2003-2014,0,ITA,it,Novara!Empoli!Triestina...
f16c43f9,Tom Hateley,2009-2018,1,GB-,gb-,Piast Gliwice!Motherwell...
76854cdf,Leon Barnett,2005-2018,1,ENG,gb-eng,Northampton Town!Wigan A...
06680526,Alberto Medina,2003-2015,0,MEX,mx,Guadalajara!Puebla!Pach...
31d48214,Mathieu Berson,1999-2010,0,FRA,fr,Nantes!Levante!Toulouse...
fb21273d,Serhiy Valyayev,2003-2013,0,UKR,ua,FC Metalist Kharkiv!FC A...
74d70fb5,Sebastian Langkamp,2008-2018,1,GER,de,Hertha BSC!Werder Bremen...
ca9d686c,Ryan Salazar,2005-2015,0,PER,pe,Club Deportivo Universida...
ca3ae27c,Stéphane Pignol,2002-2013,0,FRA,fr,Las Palmas!Real Murcia!...
972194c6,Jesús Chávez,2005-2017,1,PER,pe,Club Deportivo Universida...
d68936b1,Mathieu Duhamel,2010-2018,1,FRA,fr,Quevilly-Rouen!Foggia!C...
7e81a17d,Łukasz Teodorczyk,2010-2018,1,POL,pl,Anderlecht!Lech Poznań!...
82dabdf3,Neil Shipperley,1992-2007,0,ENG,gb-eng,Wimbledon!Southampton!C...
1a0ce03e,Xavier Báez,2006-2018,1,MEX,mx,Necaxa!Guadalajara!Cruz...
c9a41f9c,Vladimir Hernández,2008-2017,1,COL,co,Junior FC!Santos FC
008925bf,Fabio Caserta,2004-2014,0,ITA,it,Catania!Juve Stabia!Lec...
7f6bff1f,Alberto Botía,2008-2018,1,ESP,es,Olympiacos FC!Sporting G...
f4f22926,Juanma,2003-2015,0,ESP,es,Betis!Levante!Alavés!A...
9698f0fb,Rodolfo Gamarra,2009-2017,1,PAR,py,Club Guaraní!Club Libert...
c43f1953,Enzo Gutiérrez,2004-2017,1,ARG,ar,Santiago Wanderers!Millo...
bf3705e6,Andrés Fleurquin,2001-2015,0,URU,uy,Cádiz!Defensor Sporting,...
8c16b37a,Damián Escudero,2005-2017,1,ARG,ar,CR Vasco da Gama!Club At...
ac78902c,Suso Santana,2006-2018,1,ESP,es,Tenerife!Heart of Midlothian
3df94068,Fredrik Berglund,2001-2010,0,SWE,se,Esbjerg fB!IF Elfsborg!...
ffad706e,Javi López,2009-2018,1,ESP,es,Espanyol
d3225de0,Harlei de Menezes Silva,2003-2013,0,BRA,br,Goiás Esporte Clube
83430692,Patrick Müller,2000-2009,0,SUI,ch,Lyon!FC Basel!Monaco!M...
94b88487,Juanlu,2002-2014,0,ESP,es,Levante!Córdoba!Almería...
5aa8888e,Severo Meza,2005-2017,0,MEX,mx,Monterrey!Necaxa!Sinaloa
7bd21ff7,Mohamed Kamara,2006-2016,0,SLE,sl,HJK Helsinki!FK Partizan...
432430af,Brad Evans,2007-2017,1,USA,us,Seattle Sounders FC!Colu...
d1491e00,Diego Rolán,2011-2018,1,URU,uy,Málaga!Bordeaux!Defenso...
123dd5e2,Erling Knudtzon,2007-2017,1,NOR,no,Lillestrøm SK!Lyn Fotball
6674ff01,Marcin Malinowski,2002-2015,0,POL,pl,Ruch Chorzów!Odra Wodzis...
f602097e,Paul Heffernan,2002-2016,0,IRL,ie,Doncaster Rovers!Notts C...
dc8d38a2,Sander Westerveld,1999-2013,0,NED,nl,Real Sociedad!Liverpool,...
e61d33f1,Alexander Søderlund,2011-2018,1,NOR,no,Saint-Étienne!FK Haugesu...
de660ca0,Walter Ibáñez,2007-2017,1,URU,uy,CA Cerro!Alianza Lima!D...
078a53eb,Romano Perticone,2006-2018,1,ITA,it,Cesena!Livorno!Novara!...
3e655c0f,Vitalie Bordian,2004-2014,0,MDA,md,FC Metalist Kharkiv!FC V...
67210039,Christopher Poulsen,2004-2016,0,DEN,dk,Silkeborg IF!Viborg FF!...
4ff1c40c,Michael de Leeuw,2009-2017,1,NED,nl,Chicago Fire!Groningen!...
95434f4a,Alexandre Silva Cleyton,2004-2015,0,BRA,br,Apollon Smyrni FC!Panath...
2c47d99b,Norihiro Nishi,2001-2013,0,JPN,jp,Júbilo Iwata!Tokyo Verdy
5c32c5e6,Andriy Berezovchuk,2004-2015,0,UKR,ua,FC Metalist Kharkiv!FC M...
9ec5b2a8,Steven De Petter,2007-2018,1,BEL,be,Sint-Truiden!Westerlo!M...
3c0a5007,Carsten Ramelow,1999-2008,0,GER,de,Bayer Leverkusen
e54bd0a2,Tomás Pina Isla,2009-2018,1,ESP,es,Alavés!Villarreal!Mallo...
72b26e8e,Ion Ansotegi,2001-2017,0,ESP,es,Real Sociedad!Mallorca!...
9beb653a,Carlos Valdés,2006-2015,0,COL,co,América de Cali!Independ...
732fa774,Elkin Calle,2006-2015,0,COL,co,Atlético Nacional!Deport...
acbf4fd5,Gordon Schildenfeld,2007-2017,0,CRO,hr,SK Sturm Graz!Panathinai...
9886a027,Edison Vega,2007-2017,1,ECU,ec,LDU Quito!Deportivo Quit...
8c484be7,Cristopher Toselli,2007-2018,1,CHI,cl,Club Deportivo Universida...
d76a53f3,Francesco Pisano,2004-2016,0,ITA,it,Cagliari!Avellino!Bolto...
d47ec030,Miika Koppinen,2000-2013,0,FIN,fi,Tromsø IL!Rosenborg BK
156527c0,Felipe Santana,2006-2017,1,BRA,br,Clube Atlético Mineiro!B...
0d4b6027,Saša Papac,2003-2012,0,BIH,ba,Rangers!FK Austria Wien,...
b2626610,Nery Bareiro,2007-2017,1,PAR,py,Club Guaraní!Tacuary!De...
431ac3e7,Juanlu,2002-2015,0,ESP,es,Girona!Tenerife!Granada...
76c91a2c,Gary Mason,2000-2012,0,SCO,gb-sco,Dunfermline Athletic!St ...
089f82b2,Nicolás Bertolo,2006-2018,1,ARG,ar,Club Atlético Banfield!P...
02f25c21,Ronny Johnsen,1996-2008,0,NOR,no,Manchester United!Vålere...
096a77c4,Ibrahima Traoré,2007-2018,1,GUI,gn,Borussia Mönchengladbach,...
4e106307,Zurab Khizanishvili,2000-2014,0,GEO,ge,Kayserispor!Blackburn Ro...
ca7589a9,Bolo,1999-2008,0,ESP,es,Rayo Vallecano!Gimnàstic...
931b7c30,Kyriakos Papadopoulos,2007-2018,1,GRE,gr,Hamburger SV!Schalke 04,...
bcd5e1ca,Angelo Peruzzi,1998-2007,0,ITA,it,Lazio!Internazionale!Ju...
90543b9e,Gökhan Ünal,2004-2015,0,TUR,tr,Kayserispor!Trabzonspor,...
33d38e32,Stefano Napoleoni,2006-2018,1,ITA,it,İstanbul Başakşehir FK!A...
6c679c6d,Anthony Knockaert,2011-2018,1,FRA,fr,Brighton & Hove Albion!L...
8dce84b6,Jorge Ampuero,2006-2017,1,CHI,cl,Unión Española!Unión La ...
8c3fe4bb,Pablo Sánchez,2003-2016,0,ESP,es,Recreativo!Adelaide Unit...
d8d9186b,Juan Collantes,2008-2017,0,ESP,es,Sabadell!Cartagena!Rayo...
0f25dd96,Leandro Augusto,2003-2015,0,MEX,mx,UNAM!Tijuana!Puebla
b396ecbf,Emiliano Salvetti,1999-2010,0,ITA,it,Cesena!Hellas Verona!Sa...
e1b498cb,Stephan Andrist,2007-2018,1,SUI,ch,Wehen Wiesbaden!Hansa Ro...
f93abde8,Kevin Thomson,2003-2016,0,SCO,gb-sco,Hibernian!Rangers!Middl...
fde1ce8d,Brett Ormerod,2001-2014,0,ENG,gb-eng,Blackpool!Preston North ...
326e8895,Franco Niell,2004-2018,1,ARG,ar,Club de Gimnasia y Esgrim...
ab096c6f,Timothée Kolodziejczak,2008-2018,1,FRA,fr,UANL!Sevilla!Nice!Lyon
7836398b,Aleksandr Ryazantsev,2004-2018,1,RUS,ru,FC Amkar Perm!FC Rubin K...
daf2609c,Yukio Tsuchiya,2001-2017,1,JPN,jp,Kyoto Sanga FC!Tokyo Ver...
71ef519e,Matt Ritchie,2008-2018,1,SCO,gb-sco,Newcastle United!Bournem...
e06944cd,Michael Thurk,2003-2014,0,GER,de,Augsburg!Mainz 05!Heide...
8873a3e2,Jonathan Estrada,2006-2017,1,COL,co,Atlético Bucaramanga!Jun...
bb8a42fa,Adam Bodzek,2005-2018,1,POL,de,Fortuna Düsseldorf!MSV D...
dd6eab11,Víctor Peña,2008-2017,1,PER,pe,Sport Huancayo!León de H...
7feaf90b,Ferdinando Coppola,2000-2016,0,ITA,it,Atalanta!Ascoli!Piacenz...
c4e3421a,Luciano Figueroa,2001-2014,0,ARG,ar,Rosario Central!Villarre...
42c059e3,Frank Kristensen,2003-2014,0,DEN,dk,FC Midtjylland!Randers FC
ba6e01ab,Ryan Mendes,2008-2018,1,CPV,cv,Kayserispor!Le Havre!Li...
a6979b0f,Ádám Gyurcsó,2010-2018,1,HUN,hu,Pogoń Szczecin!HNK Hajdu...
991b2cec,Javier Chica,2006-2016,0,ESP,es,Espanyol!Betis!Valladolid
77f6cf3f,Pedro Ascoy,2005-2014,0,PER,pe,Alianza Atlético!Juan Au...
ee381989,Jesús María Lacruz,1999-2010,0,ESP,es,Athletic Bilbao!Espanyol...
9881c8d5,Goran Šukalo,2003-2017,0,SVN,si,MSV Duisburg!Koblenz!Un...
fe18e1a1,Dorin Goian,2006-2016,0,ROU,ro,FC Steaua București!Aste...
17d3a522,László Bartha,2005-2018,1,HUN,hu,Paksi SE!Ferencvárosi TC
d33c706e,Andy Delort,2009-2018,1,FRA,fr,Toulouse!Tours!Ajaccio,...
2264e79b,Marco Pérez,2008-2017,1,COL,co,Deportes Tolima!Boyacá C...
b769b5bd,Thomas Gravesen,1999-2008,0,DEN,dk,Everton!Real Madrid!Cel...
ce3fe9de,Tim de Cler,2000-2011,0,NED,nl,AZ Alkmaar!Feyenoord!AF...
6197b883,Yusuke Tasaka,2007-2017,1,JPN,jp,Kawasaki Frontale!Bochum
dabec4c3,Nemanja Pejčinović,2008-2018,1,SRB,rs,FC Lokomotiv Moscow!Nice...
eb174a27,Taras Mykhalyk,2005-2018,1,UKR,ua,FC Lokomotiv Moscow!FC D...
3783ae20,David Connolly,2000-2015,0,IRL,ie,Wimbledon!Southampton!L...
538bf31a,Chris Taylor,2005-2017,0,ENG,gb-eng,Oldham Athletic!Blackbur...
feeac3ab,Serginho Greene,2002-2018,1,NED,nl,RKC Waalwijk!Feyenoord!...
4ac07e1b,Santiago Gentiletti,2004-2018,1,ARG,ar,Genoa!San Lorenzo de Alm...
efa708aa,Jonathan Viera,2010-2018,1,ESP,es,Las Palmas!Rayo Vallecan...
a0860436,Nico Van Kerckhoven,1999-2010,0,BEL,be,Westerlo!Schalke 04!Bor...
3bab978e,François Affolter,2008-2017,1,SUI,ch,San Jose Earthquakes!BSC...
207941f8,Steve Jones,2001-2013,0,NIR,gb-nir,Crewe Alexandra!Burnley,...
9450487e,Toshihiro Hattori,2001-2013,0,JPN,jp,Júbilo Iwata!FC Gifu!To...
4592c48e,Steve Stone,1992-2007,0,ENG,gb-eng,Nottingham Forest!Aston ...
543e7bda,Tugay Kerimoğlu,2000-2009,0,TUR,tr,Blackburn Rovers!Rangers...
a08b974a,Lucas Ocampos,2012-2018,1,ARG,ar,Marseille!Botafogo de Fu...
b448659f,George Maluleka,2007-2018,1,RSA,za,Kaizer Chiefs FC!Ajax Ca...
a80a8df4,Yair Arrechea,2006-2015,0,COL,co,Deportes Tolima!Deportiv...
d51dbe45,Dennis Flinta,2004-2018,1,DEN,dk,Silkeborg IF!FC Midtjylland
79283d79,Oguchi Onyewu,2003-2017,1,USA,us,Philadelphia Union!Stand...
5596a89f,Steve Finnan,2001-2010,0,IRL,ie,Liverpool!Fulham!Portsm...
bd9813b9,Djalma Campos,2006-2018,1,ANG,ao,PAOK FC!Marítimo!Konyas...
ae39b612,Andreas Hölzl,2004-2014,0,AUT,at,SK Sturm Graz!FC Wacker ...
3334db7c,Ariel Nahuelpán,2006-2017,1,ARG,ar,Barcelona Sporting Club!...
7b3db532,Craig Samson,2003-2018,1,SCO,gb-sco,St Mirren!Kilmarnock!Mo...
c0bcda8a,Mario Mutsch,2007-2017,0,LUX,lu,FC St. Gallen!Metz!FC A...
3dab8efd,Diego Biseswar,2005-2018,1,NED,nl,PAOK FC!Feyenoord!Kayse...
d8c086d3,Sebastiano Siviglia,2000-2010,0,ITA,it,Lazio!Atalanta!Lecce!Roma
f9e7c4ac,Alfreð Finnbogason,2010-2018,1,ISL,is,Augsburg!Heerenveen!Rea...
623e9fe1,Denis Stracqualursi,2008-2018,1,ARG,ar,Club Atlético Tigre!Inde...
85533ce7,Logan Pause,2003-2014,0,USA,us,Chicago Fire
efce573b,Flavio Caicedo,2007-2017,1,ECU,ec,Club Deportivo River Plat...
a2cb3f2c,Sean Franklin,2008-2017,1,USA,us,D.C. United!LA Galaxy
ebb2870f,Bohdan Shershun,2002-2014,0,UKR,ua,FC Dnipro Dnipropetrovsk,...
9469fb13,Barry Bannan,2008-2018,1,SCO,gb-sco,Sheffield Wednesday!Asto...
f22c0b3b,Emerson Sheik,2001-2015,0,QAT,qa,Sport Club Corinthians Pa...
583ffd3c,Manuel Ugaz,2005-2017,1,PER,pe,Ayacucho FC!Club Deporti...
45a92f0f,Georgi Andonov,2009-2018,1,BUL,bg,FC Vereya!PFC Beroe Star...
4faca002,Richard Duffy,2003-2018,1,WAL,gb-wal,Notts County!Port Vale!...
95b4ffb3,Casto,2005-2018,1,ESP,es,Alcorcón!Almería!Betis,...
b6dfd8e7,Jovan Markoski,2006-2018,1,SRB,rs,FK Napredak Kruševac!FC ...
d1943c8b,Artur Jędrzejczyk,2006-2018,1,POL,pl,Legia Warsaw!FC Krasnoda...
d807c7f6,Jan-Arie van der Heijden,2007-2018,1,NED,nl,Feyenoord!Vitesse!Willem II
358c92e5,Mohamed Messoudi,2003-2018,1,BEL,be,Beerschot Wilrijk!Kortri...
1d799438,Federico Nieto,2004-2016,0,ARG,ar,Club Atlético Huracán!De...
fb561f18,Fernando Guerrero,2008-2017,1,ECU,ec,LDU Quito!Associação Cha...
7ac92ed1,Vittorio Tosto,1998-2010,0,ITA,it,Empoli!Piacenza!Napoli,...
c2390e21,Víctor Figueroa,2002-2018,1,ARG,ar,Newell's Old Boys!Al-Nas...
1efa2799,Dejan Stefanović,1995-2009,0,SRB,rs,Portsmouth!Vitesse!Shef...
28c3714e,Mikael Nilsson,2001-2012,0,SWE,se,Panathinaikos FC!Halmsta...
3e4bde40,Arild Sundgot,2000-2011,0,NOR,no,Lillestrøm SK
33eca029,Ilari Äijälä,2005-2016,0,FIN,fi,FC Honka!MYPA!FC KooTee...
024850b5,Zheng Zhi,2006-2016,0,CHN,cn,Guangzhou Evergrande Taob...
7da9dd2a,Augusto Recife,2003-2017,1,BRA,br,Paysandu Sport Club!Asso...
2f95ddc1,Wayne Arendse,2006-2018,1,RSA,za,Mamelodi Sundowns FC!San...
c6b117f7,Viktor Lundberg,2008-2018,1,SWE,se,Marítimo!Randers FC!AIK...
3eb27433,Ioan Hora,2006-2018,1,ROU,ro,Akhisar Belediyespor!CFR...
037130ca,Robert Tesche,2006-2018,1,GER,de,Bochum!Hamburger SV!Arm...
fe9c9bfc,Jay Simpson,2007-2017,1,ENG,gb-eng,Philadelphia Union!Leyto...
857110b0,Vincenzo Sommese,1999-2011,0,ITA,it,Ascoli!Mantova!Torino!...
514bda4f,Sean St Ledger,2002-2018,1,IRL,ie,Guiseley!Preston North E...
65085487,Michael Hughes,1994-2008,0,NIR,gb-nir,Crystal Palace!Wimbledon...
17476497,Stéphane Henchoz,1997-2007,0,SUI,ch,Liverpool!Blackburn Rove...
401cbfb4,Marek Matějovský,2007-2018,1,CZE,cz,FK Mladá Boleslav!AC Spa...
f073b43a,Jake Buxton,2002-2018,1,ENG,gb-eng,Burton Albion!Mansfield ...
2819e61f,Janne Korhonen,2003-2013,0,FIN,fi,MYPA!JJK Jyväskylä!FC H...
94a468e6,Arnaud Bühler,2003-2015,0,SUI,ch,FC Sion!FC Aarau!Sochau...
bb91617c,Alex Smithies,2007-2018,1,ENG,gb-eng,Queens Park Rangers!Hudd...
452256d3,Jorge Moreira,2009-2018,1,PAR,py,Club Atlético River Plate...
d27ad41a,Adán Balbín,2005-2017,1,PER,pe,Club Universitario de Dep...
6efeb59f,Dager Palacios,2007-2016,0,COL,co,La Equidad!Boyacá Chicó ...
2a8683b9,Maicon Pereira Roque,2008-2018,1,BRA,br,São Paulo FC!Galatasaray...
66a75186,Rafael Moura,2004-2017,1,BRA,br,Clube Atlético Mineiro!S...
f053730b,Ricardo Goulart,2009-2017,1,BRA,br,Guangzhou Evergrande Taob...
4682d68d,Branko Bošković,2003-2014,0,MNE,me,SK Rapid Wien!D.C. Unite...
2f50ace0,Cristóbal Jorquera,2006-2018,1,CHI,cl,Bursaspor!Colo-Colo!Gen...
b2f8cf9a,Mateusz Możdżeń,2009-2018,1,POL,pl,Korona Kielce!Lech Pozna...
467bae22,Franco Vázquez,2011-2018,1,ITA,it,Sevilla!Palermo!Rayo Va...
69ff3bfa,Martín Bravo,2004-2018,1,ARG,ar,Veracruz!UNAM!Santos La...
405f6586,Milan Đurić,2007-2018,1,BIH,ba,Bristol City!Cesena!Cro...
54b8584b,Bennard Kumordzi,2006-2018,1,GHA,gh,Kortrijk!Genk!Panionios...
63fd7a19,Ömer Erdoğan,2001-2013,0,TUR,tr,Bursaspor!Diyarbakırspor...
74ce0229,Antti Ojanperä,2003-2015,0,FIN,fi,Tampere United!FC Haka!...
569c657a,Steven Schumacher,2003-2017,0,ENG,gb-eng,Bradford City!Bury!Crew...
9836786c,Morgan Gould,2006-2018,1,RSA,za,SuperSport United FC!Kai...
42103b2f,Jeroen Simaeys,2005-2017,0,BEL,be,Club Brugge!Genk!Sint-T...
55ef6d36,Dirk Marcellis,2007-2018,1,NED,nl,Zwolle!AZ Alkmaar!PSV E...
bbd74f67,Gustavo López,1999-2008,0,ARG,ar,Celta Vigo!Cádiz
3b677966,Dario Passoni,2001-2011,0,ITA,it,Livorno!AlbinoLeffe!Man...
c849456c,Jacques Maghoma,2009-2018,1,COD,cd,Birmingham City!Burton A...
cf41510e,Valerică Găman,2006-2018,1,ROU,ro,Kardemir Karabükspor!FC ...
967a7889,Torben Hoffmann,1999-2011,0,GER,de,1860 Munich!Eintracht Fr...
dd0947fe,Jamie MacDonald,2007-2018,1,SCO,gb-sco,Kilmarnock!Heart of Midl...
ce4dd549,Marcello Cottafava,2004-2015,0,ITA,it,Triestina!Lecce!Treviso...
67940c67,Sergio Amaury Ponce,2003-2015,0,MEX,mx,Toluca!Atlas!San Luis!...
2f10b901,Iñaki Goitia,2003-2015,0,ESP,es,Málaga!Betis!Atlético M...
4a22a677,Volodymyr Polyovyi,2003-2017,0,UKR,ua,FC Metalurh Zaporizhya!F...
4114f306,Marco Höger,2009-2018,1,GER,de,Köln!Schalke 04!Alemann...
9076667f,Aarón Galindo,2003-2017,0,MEX,mx,Toluca!Cruz Azul!Guadal...
78012f69,Kunie Kitamoto,2001-2017,1,JPN,jp,Vissel Kobe
a4432ca2,Juliano Belletti,2002-2010,0,BRA,br,Barcelona!Chelsea!Villa...
e421684b,Egemen Korkmaz,2001-2015,0,TUR,tr,Bursaspor!Trabzonspor!F...
44ac04e9,Matías Vecino,2009-2018,1,URU,uy,Internazionale!Fiorentin...
f22be090,André Leão,2006-2018,1,POR,pt,Paços de Ferreira!Vallad...
99be8fb5,Anthony Ujah,2010-2018,1,NGA,ng,Liaoning Whowin FC!Mainz...
54182308,Cem Can,2003-2016,0,TUR,tr,Gençlerbirliği SK!İstanb...
a038add9,Hisashi Jogo,2006-2017,1,JPN,jp,Avispa Fukuoka
df34eb7a,Juan Nakaya,2005-2017,1,PER,pe,Ayacucho FC!Club Deporti...
8fce0898,Niclas Alexandersson,1997-2009,0,SWE,se,IFK Göteborg!Sheffield W...
cbd26ff3,Ariel Cabral,2006-2017,1,ARG,ar,Cruzeiro Esporte Clube!C...
4ecd1136,Ivica Križanac,2002-2014,0,CRO,hr,FC Zenit Saint Petersburg...
ab19c82c,Ricardo Faty,2005-2018,1,SEN,sn,Bursaspor!Aris FC!Ajacc...
ecada4fc,Keylor Navas,2010-2018,1,CRC,cr,Real Madrid!Levante!Alb...
489d2628,Vincent Candela,1998-2007,0,FRA,fr,Roma!Udinese!Messina!B...
31e3ab68,David Da Costa,2010-2018,1,SUI,ch,FC Lugano!FC Zürich!Nov...
01b63256,Pavle Ninkov,2007-2018,1,SRB,rs,FK Zemun!Toulouse!Red S...
b6af8c85,Yoshimar Yotún,2008-2017,1,PER,pe,Malmö FF!Orlando City!S...
fb2dec57,Hal Robson-Kanu,2007-2018,1,WAL,gb-wal,West Bromwich Albion!Rea...
883f251e,Lacina Traoré,2008-2018,1,CIV,ci,Amiens!CFR Cluj!FC Anzh...
0136606c,Foued Kadir,2009-2018,1,ALG,dz,Alcorcón!Valenciennes!B...
317110a9,Cédric Hengbart,2004-2015,0,FRA,fr,Auxerre!Caen!Ajaccio
28ccefcd,Natxo Insa,2007-2017,0,ESP,es,Villarreal B!Eibar!Celt...
e663724a,Giles Barnes,2005-2017,1,JAM,jm,Orlando City!Houston Dyn...
9c787be7,Grégory Paisley,2000-2012,0,FRA,fr,Sochaux!Troyes!Nice!Le...
887c3af5,Caçapa,2000-2011,0,BRA,br,Lyon!Newcastle United!C...
5d8c6afd,Juan Carlos Paredes,2006-2017,0,ECU,ec,Deportivo Quito!Watford,...
8391daab,Rowan Vine,2001-2015,0,ENG,gb-eng,Luton Town!Queens Park R...
33689c46,Jonas Henriksson,2001-2012,0,SWE,se,BK Häcken!IFK Göteborg
26b5e727,Tony Adams,1992-2002,0,ENG,gb-eng,Arsenal
2502304e,Jesús Cisneros,2005-2017,1,PER,pe,Juan Aurich!Cienciano!S...
a8748947,Tom Cairney,2009-2018,1,SCO,gb-sco,Fulham!Blackburn Rovers,...
9250bcff,Christian Gytkjær,2010-2018,1,DEN,dk,Lech Poznań!FK Haugesund...
4370cecc,Gerhard Tremmel,1999-2015,0,GER,de,Energie Cottbus!Unterhac...
5617be65,Mike Petke,1998-2010,0,USA,us,New York Red Bulls!Color...
d231ad99,Riccardo Maniero,2007-2018,1,ITA,it,Novara!Pescara!Bari!Ca...
47a0cb1d,Daniel Gonzalez,2005-2018,1,USA,mx,OKC Energy!Defensa y Jus...
88e52793,Manuel José Vieira,2002-2016,0,POR,pt,Paços de Ferreira!CFR Cl...
adec5dbb,Gianluca Pagliuca,1998-2007,0,ITA,it,Bologna!Internazionale!...
4f1a5246,Germán Alemanno,2004-2015,0,ARG,ar,Club Deportivo Universida...
96f2e36c,Vedran Jugović,2008-2017,1,CRO,hr,Jeonnam Dragons!NK Osije...
60e242de,Jhonny Alexander Vásquez,2007-2017,1,COL,co,América de Cali!Águilas ...
3eaa3f36,Erik Friberg,2007-2017,1,SWE,se,BK Häcken!Seattle Sounde...
197a3eae,Richard Mulrooney,1999-2010,0,USA,us,San Jose Earthquakes!Hou...
c4612ab6,Steve Davies,2005-2018,1,ENG,gb-eng,Rochdale!Derby County!T...
5b832adc,Shalrie Joseph,2003-2013,0,GRN,gd,New England Revolution!C...
cb93399b,Mathias Lindström,2003-2014,0,FIN,fi,Tampere United!FC Inter ...
bb9e7a65,Miguel Pinto,2005-2017,0,CHI,cl,Club Universidad de Chile...
9678b6c6,Sharbel Touma,2001-2017,1,SWE,se,Syrianska FC!Twente!Hal...
6e3e1935,Ramón Rodríguez,2005-2015,0,PER,pe,Real Garcilaso!Cienciano...
700165a8,Julien Rodriguez,1999-2009,0,FRA,fr,Monaco!Marseille!Rangers
6695cec2,Fabio Coltorti,2003-2017,0,SUI,ch,Grasshopper Club Zürich!...
efa4038e,Johan Cavalli,2001-2018,1,FRA,fr,Ajaccio!Nîmes!Mons!Lor...
aad584e0,Nikola Žigić,2006-2015,0,SRB,rs,Birmingham City!Racing S...
e162b013,Thomas Meunier,2011-2018,1,BEL,be,Paris Saint-Germain!Club...
4af2fe86,Erwin Isaacs,2006-2018,1,RSA,za,Ajax Cape Town FC!Santos...
a7a9d95a,Paco Alcácer,2011-2018,1,ESP,es,Barcelona!Valencia!Getafe
760f3421,Tomás Bartomeus,2009-2017,1,PAR,py,Club Guaraní!Club Rubio Ñu
b93b7882,Mathew Leckie,2009-2018,1,AUS,au,Hertha BSC!Ingolstadt 04...
3250c6cd,Kévin Bérigaud,2010-2018,1,FRA,fr,Montpellier!Evian!Angers
60c76531,Bobo Baldé,2000-2012,0,GUI,gn,Celtic!Arles-Avignon!Va...
8494acc4,Stefan Ilsanker,2010-2018,1,AUT,at,RB Leipzig!FC Red Bull S...
b64dae45,Alex Revell,2002-2018,1,ENG,gb-eng,Northampton Town!Stevena...
7094cf46,Vladan Pavlović,2006-2018,1,SRB,rs,FK Radnik Surdulica!FK V...
82df0835,Maximiliano Pellegrino,2001-2014,0,ARG,ar,Club Atlético Vélez Sarsf...
69cbc8b6,Leandro Cabrera,2008-2018,1,URU,uy,Getafe!Crotone!Zaragoza...
4f0d1bbe,Brett Holman,2002-2018,1,AUS,au,Brisbane Roar FC!AZ Alkm...
387b3d5d,Diego Guastavino,2006-2017,1,URU,uy,Club Universitario de Dep...
3f8ef948,Sam Ricketts,2002-2017,0,WAL,gb-wal,Hull City!Bolton Wandere...
9f2550f3,Nicky Bailey,2005-2018,1,ENG,gb-eng,Sutton United!Middlesbro...
060606ec,Marco D'Alessandro,2008-2018,1,ITA,it,Benevento!Atalanta!Cese...
45fdede4,Carlton Palmer,1992-2006,0,ENG,gb-eng,Leeds United!Sheffield W...
2990a468,Mario Pineida,2010-2017,1,ECU,ec,Barcelona Sporting Club!...
96e30d42,Christian Terlizzi,2003-2016,0,ITA,it,Catania!Trapani!Palermo...
b7f40acb,Wánderson,2007-2018,1,BRA,br,FC Dynamo Moscow!Alanyas...
5d720396,Aarón Ñíguez,2007-2018,1,ESP,es,Oviedo!Elche!Almería!T...
88dd134a,Matías Britos,2008-2018,1,URU,uy,Querétaro!Al-Hilal FC!U...
0836ac1e,Marcelo Salas,1998-2008,0,CHI,cl,Lazio!Club Universidad d...
03a154c8,Liam Reddy,2005-2018,1,AUS,au,Perth Glory FC!Queenslan...
