3db5e0ec,Phil Neville,1994-2013,0,ENG,gb-eng,Manchester United!Everton
45f26945,Antonio Di Natale,2001-2016,0,ITA,it,Udinese!Empoli
e6ad16b2,Marek Hamšík,2005-2018,1,SVK,sk,Napoli!Brescia
dd74033b,Luca Toni,2000-2016,0,ITA,it,Hellas Verona!Fiorentina...
c444465e,Tim Howard,1998-2017,1,USA,us,Everton!Colorado Rapids,...
57ef0d97,Thiago Motta,2001-2018,1,ITA,it,Paris Saint-Germain!Barc...
e2716bd0,David Silva,2004-2018,1,ESP,es,Manchester City!Valencia...
945dea33,Didier Drogba,2001-2017,1,CIV,ci,Chelsea!Phoenix Rising!...
7f2107eb,Roque Santa Cruz,1999-2017,1,PAR,py,Club Olimpia!Bayern Muni...
3233eefd,Phil Jagielka,2001-2018,1,ENG,gb-eng,Everton!Sheffield United
be091289,Ashley Cole,1999-2017,1,ENG,gb-eng,Chelsea!LA Galaxy!Arsen...
2b81295d,Raúl,1999-2015,0,ESP,es,Real Madrid!Schalke 04!...
4d801075,Esteban Cambiasso,2001-2017,0,ARG,ar,Internazionale!Real Madr...
71a20ce8,Mario Gómez,2003-2018,1,GER,de,Stuttgart!Wolfsburg!Bay...
c419e035,Stefan Kießling,2003-2018,1,GER,de,Bayer Leverkusen!Nürnberg
83228343,Morgan De Sanctis,1998-2017,0,ITA,it,Udinese!Napoli!Roma!Ga...
6ca663b4,Giampaolo Pazzini,2003-2018,1,ITA,it,Hellas Verona!Levante!F...
2188289f,Diego Milito,2001-2016,0,ARG,ar,Internazionale!Racing Cl...
c332aacf,Zé Roberto,1999-2017,1,BRA,br,Sociedade Esportiva Palme...
936d9e3e,Emmanuel Adebayor,2001-2018,1,TOG,tg,İstanbul Başakşehir FK!A...
cfa036c3,Sylvain Armand,2000-2017,0,FRA,fr,Paris Saint-Germain!Nant...
e9f4c7c5,Kris Boyd,2000-2018,1,SCO,gb-sco,Kilmarnock!Rangers!Midd...
2042d931,Salomon Kalou,2004-2018,1,CIV,ci,Hertha BSC!Chelsea!Lill...
1586379d,Massimo Maccarone,2001-2018,1,ITA,it,Empoli!Brisbane Roar FC,...
ee4f2f3b,Fabio Quagliarella,2004-2018,1,ITA,it,Sampdoria!Juventus!Tori...
dfa05223,Marco Di Vaio,1998-2014,0,ITA,it,Bologna!Parma!Montreal ...
3f10bd22,Jesús Navas,2003-2018,1,ESP,es,Sevilla!Manchester City
5e606f92,Kenny Miller,2000-2018,1,SCO,gb-sco,Rangers!Wolverhampton Wa...
4e7bfc23,Florent Balmont,2002-2018,1,FRA,fr,Lille!Dijon!Nice!Toulo...
e3df61bc,Steed Malbranque,1999-2017,0,FRA,fr,Lyon!Fulham!Sunderland,...
61e267c5,Andrea Caracciolo,2001-2018,1,ITA,it,Brescia!Palermo!Perugia...
99b1d0e6,Stephan Lichtsteiner,2003-2018,1,SUI,ch,Juventus!Lazio!Lille!G...
5042e5c2,Klaas-Jan Huntelaar,2002-2018,1,NED,nl,AFC Ajax!Schalke 04!Hee...
2c2f117b,Joe Cole,1998-2017,1,ENG,gb-eng,Tampa Bay Rowdies!Chelse...
e47fa9bd,Omar Pérez,2001-2017,1,URU,uy,Independiente Santa Fe!F...
7c1f4685,John O'Shea,2001-2018,1,IRL,ie,Sunderland!Manchester United
d6846501,Antonio Floro Flores,2000-2018,1,ITA,it,Bari!Udinese!Arezzo!Sa...
80bc263c,Alessandro Del Piero,1998-2014,0,ITA,it,Juventus!Sydney FC
8b92c119,David Pizarro,1999-2017,1,CHI,cl,Club Universidad de Chile...
d0ebce19,Jamie Carragher,1997-2013,0,ENG,gb-eng,Liverpool
e9c7102a,Martín Demichelis,2001-2017,0,ARG,ar,Bayern Munich!Málaga!Ma...
c204f844,Yaya Touré,2003-2018,1,CIV,ci,Manchester City!Barcelon...
